,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
temperature_celsius,1.0,0.9999348628842994,0.13063075828013626,0.13060819446750885,0.12098840423771318,0.16602568041232507,0.16539095535764586,0.12989075210109513,0.13058139084313936,0.2642348095035523,0.1877730407176985,0.9113703945396432,0.9115232914438424,0.20164480052350378,0.20457264683654391,0.1787445184444623,0.12052813022517368,0.12049948266152374,0.17548326461569222,0.08283336453540724,0.13357156654199795,0.18858683165433465,0.1864245197278304,0.1872466290360015,0.19089833850818627,0.20566218218761964,0.10284478799271214
temperature_fahrenheit,0.9999348628842994,1.0,0.13054477722036692,0.1305230557492788,0.12103101489655026,0.1661732969156822,0.1655582121547073,0.12954565921628416,0.13023760446882882,0.26484232111954503,0.1878749192286019,0.911279465367707,0.9114355440934594,0.20125925404352055,0.20426524769404328,0.17872594574219475,0.12040708673999471,0.12037801179813491,0.175165875970991,0.08284670005553411,0.13370252469143218,0.18841724046499067,0.18647277791222974,0.18718899981610063,0.1910035896406821,0.2057176033964603,0.10265579143657731
wind_mph,0.13063075828013626,0.13054477722036692,1.0,0.9999575675292194,0.1628019463507284,0.10240992041810854,0.1022161640146143,0.11119540956288057,0.11064260359641719,0.14759913770518407,0.08879121655556135,0.15586631026550854,0.15594832547625986,0.10956090831705313,0.10768706529822576,0.11129959679080187,0.9602265290399155,0.9601403303634514,0.16898020473603215,0.11875911183889391,0.18466655085564407,0.19177183331106218,0.1908478747375808,0.18265339936879013,0.18225031986745774,0.18291661641940746,0.09275834994188877
wind_kph,0.13060819446750885,0.1305230557492788,0.9999575675292194,1.0,0.16301555979309387,0.10259540307086104,0.10239426862767462,0.11114030447603862,0.11058657359221435,0.14747988299639114,0.08878820207427492,0.15585182896394212,0.1559362791593407,0.10949291299310515,0.10759868663347959,0.11133581194699213,0.9602324121880657,0.9601520753369959,0.16895525087565186,0.1186339756616131,0.1845950603614875,0.19178774555294567,0.190767632564293,0.18254115763222886,0.18226056745432218,0.18278498653411243,0.09278548983390283
wind_degree,0.12098840423771318,0.12103101489655026,0.1628019463507284,0.16301555979309387,1.0,0.11643291300484167,0.11606480742570281,0.12238011568065307,0.1221229422704593,0.13742882057881392,0.10490049407522452,0.11757469048679269,0.11734845358452467,0.10091202549088919,0.102893359917919,0.09771353211880213,0.16304439865216996,0.16320132718863017,0.13244869703058285,0.08938378793817214,0.09395598899064143,0.1301352484735414,0.12663885595129903,0.12364708649903691,0.1169549580271945,0.11661453333092796,0.09660087323498413
pressure_mb,0.16602568041232507,0.1661732969156822,0.10240992041810854,0.10259540307086104,0.11643291300484167,1.0,0.9989812298932772,0.15930573250788052,0.15961001612620312,0.24437352977041815,0.14232217048723844,0.1501738707591795,0.15074605557529816,0.16032230500899983,0.15840261639405442,0.0847804656227902,0.10895740246000787,0.10907546420722183,0.17873218590891013,0.082610243221678,0.09879633991846783,0.11432230384452802,0.147785374303307,0.1385157881006053,0.11243254803252077,0.13969144346880125,0.10731512595017582
pressure_in,0.16539095535764586,0.1655582121547073,0.1022161640146143,0.10239426862767462,0.11606480742570281,0.9989812298932772,1.0,0.1590544235019076,0.15935343788712902,0.24468287517276832,0.14278499896585162,0.14935043912259646,0.1499092817021797,0.15855591305859829,0.1566940473993037,0.08476464572794536,0.10872828977348727,0.10884790694440875,0.17871815113961012,0.08257287225388503,0.10009815111349148,0.11462974655594947,0.14772114615545465,0.13816795737866058,0.11254989468933045,0.13945054061748716,0.10751624571754172
precip_mm,0.12989075210109513,0.12954565921628416,0.11119540956288057,0.11114030447603862,0.12238011568065307,0.15930573250788052,0.1590544235019076,1.0,0.9980120554013054,0.16176440417786467,0.13377543118848545,0.11526893428276469,0.11547309548590903,0.1811767687464679,0.1802640615904095,0.08331969577154717,0.1076739919254813,0.10771327175190121,0.11265728348421496,0.10091184162193892,0.12661399037838747,0.1177671197594054,0.10332782951939869,0.11110125405700069,0.09047193795195614,0.1119970400829482,0.09606885946656148
precip_in,0.13058139084313936,0.13023760446882882,0.11064260359641719,0.11058657359221435,0.1221229422704593,0.15961001612620312,0.15935343788712902,0.9980120554013054,1.0,0.16135201539616773,0.13335587052190392,0.1162277512639199,0.11640539811600367,0.1802749933204708,0.1793054023376635,0.08414954131348194,0.10708948528903003,0.10713476834763848,0.11260100718481031,0.10261376765145984,0.12576727755754202,0.11588039631632847,0.10277622202850209,0.11057498658437857,0.09003470215145758,0.11173904862600044,0.09577839309517354
humidity,0.2642348095035523,0.26484232111954503,0.14759913770518407,0.14747988299639114,0.13742882057881392,0.24437352977041815,0.24468287517276832,0.16176440417786467,0.16135201539616773,1.0,0.24254082406058425,0.21948381925681534,0.22000328787870818,0.2526252690687641,0.2612234859316243,0.15153131912592513,0.14940444956393004,0.1493613896761318,0.11387987668585006,0.0999304035932895,0.10492567386643796,0.11415349095698055,0.10909835697899499,0.1088903351026077,0.11062857492168307,0.10764430400103284,0.0800082606968374
