,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
temperature_celsius,0.0,0.0009600472653971676,0.304039665551108,0.3041793963946916,0.3340695045702162,0.32112964369482894,0.3209347264115454,0.32428737129607615,0.3238136349100894,0.25869920897450593,0.3825664398727016,0.04266403279611935,0.04258346670128868,0.3686065679664294,0.3998864166382752,0.2802115457419186,0.3097064711167235,0.3096614174839581,0.3060348639745066,0.2802220504679016,0.3086627203572466,0.30276266733643253,0.34473891194639794,0.34112491643303894,0.37275155465616655,0.3628067826581701,0.31908960823903554
temperature_fahrenheit,0.0009600472653971676,0.0,0.30407085784596394,0.3042076669623132,0.33405329333513895,0.32114716300200497,0.32099061599058276,0.3239332178528879,0.323439927291101,0.2586905676054064,0.38257782487160263,0.04267814318599519,0.042601670888541304,0.3687399370513881,0.400047138535396,0.28032562129498007,0.3096983068230293,0.3096540542544226,0.30599015200299207,0.2802984249102881,0.30882031734712334,0.30292190237174643,0.34465363571171925,0.3411551153440728,0.3726933617617621,0.3627895732314236,0.3191344445438174
wind_mph,0.304039665551108,0.30407085784596394,0.0,0.0025363659682888463,0.29427653604330833,0.32132475964385726,0.3224904207212618,0.339777136637781,0.34021420463970253,0.2934605564065403,0.318712732008744,0.31536403289369364,0.3153284342317007,0.3842665447677361,0.40672959715049734,0.342139097721213,0.07087332143484142,0.07113291593714784,0.2984973182785086,0.2648569740521672,0.3035777550717609,0.3114493007848269,0.2982264780945013,0.2956785650755435,0.3082126545296777,0.30103369960507265,0.331660089663797
wind_kph,0.3041793963946916,0.3042076669623132,0.0025363659682888463,0.0,0.2941579886536688,0.32154077658521957,0.32268781148800957,0.3391451240667838,0.33960745034411866,0.29323667943919934,0.3184995343527697,0.31532074507741276,0.3152758019348745,0.3848795945830754,0.4077831154719125,0.34329952386760937,0.07064868180812377,0.07088435004435492,0.29854216000218,0.2650218714715285,0.3035463187701612,0.3114196873723279,0.29783283956374423,0.29560822416107074,0.3081580367466519,0.300564525020001,0.33148543653629925
wind_degree,0.3340695045702162,0.33405329333513895,0.29427653604330833,0.2941579886536688,0.0,0.3214018425683652,0.3209189579538612,0.33700575885772155,0.33579076906109095,0.29680883642981337,0.33740790521374336,0.3384876470947755,0.33849331351040657,0.3701416384609405,0.37915600715660047,0.3725435795796146,0.29400470883571805,0.29401904763876285,0.30875571853791417,0.31392979328236287,0.30101931317827985,0.3116939660052917,0.28765449631761125,0.2952783037223773,0.3256218336327521,0.27860725724335567,0.3359040587502812
pressure_mb,0.32112964369482894,0.32114716300200497,0.32132475964385726,0.32154077658521957,0.3214018425683652,0.0,0.008076573892919181,0.34128039753600964,0.3409660738377138,0.31323451829242827,0.3153059030385138,0.3275720828822058,0.32762854086074056,0.38299452273810625,0.3798008113460254,0.3343305390953296,0.3257922243932041,0.32553369901281104,0.29685130650300967,0.3127210923799758,0.30057923718764296,0.29617694243546583,0.2894959690535723,0.2939824426924971,0.29765118627296805,0.2891566448067517,0.31130958087326455
pressure_in,0.3209347264115454,0.32099061599058276,0.3224904207212618,0.32268781148800957,0.3209189579538612,0.008076573892919181,0.0,0.3422203465208405,0.3418473909099601,0.31391794011163193,0.31877479852303586,0.32746715922974196,0.3274894774144976,0.38126089872844027,0.3823572894676065,0.3318050514216609,0.3266959707898775,0.32638750665288435,0.2954997721248153,0.3133416205822287,0.3015664119923553,0.2957820272365143,0.2898402169076153,0.29432917689339944,0.2963717722795613,0.28903703388589547,0.3115121864246554
precip_mm,0.32428737129607615,0.3239332178528879,0.339777136637781,0.3391451240667838,0.33700575885772155,0.34128039753600964,0.3422203465208405,0.0,0.00990767640531364,0.32547187133148336,0.41608587550352544,0.32235152926440724,0.3225834428513794,0.29645133916208,0.34123766756101004,0.32977045770365354,0.3353731723341101,0.33515574770332834,0.29280409402075175,0.3320455642863702,0.3399052509369024,0.29978266549524046,0.31734812025274756,0.32564969319939224,0.38978011213769936,0.3504701062096184,0.35057190729710436
precip_in,0.3238136349100894,0.323439927291101,0.34021420463970253,0.33960745034411866,0.33579076906109095,0.3409660738377138,0.3418473909099601,0.00990767640531364,0.0,0.32358311732052425,0.4160480114620762,0.32325229866363325,0.3235291808889963,0.3046505232119826,0.347583448979525,0.3245444553829571,0.3363751148706419,0.33650862371577206,0.2942163199993024,0.33050677253655686,0.3399025048762198,0.3008376589706361,0.31680547200656195,0.32587268427146393,0.3904335074176214,0.34981698346433343,0.34670933651666513
humidity,0.25869920897450593,0.2586905676054064,0.2934605564065403,0.29323667943919934,0.29680883642981337,0.31323451829242827,0.31391794011163193,0.32547187133148336,0.32358311732052425,0.0,0.3054576498742356,0.2673314396737807,0.2673786055240447,0.4010431475278674,0.41841700360652634,0.34254114732843927,0.2871208892990176,0.2872597201067401,0.30060390923524244,0.3001087364558494,0.294577381257595,0.29212377011645035,0.30427067308447325,0.3044657177140355,0.3100016905480662,0.29923270860700496,0.2768652851967528
