,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
temperature_celsius,0.0,0.3375573404545839,6.65554816593293e-09,6.6998073973172815e-09,0.01568648067556704,5.015052217804747e-05,4.764538584302282e-05,0.25727154032219895,0.26246424351486164,9.089274784703013e-16,0.0007144833561594922,7.987296575341595e-06,8.887127626575972e-06,0.24237190900870814,0.2171948364226088,0.058137667789573945,1.3589246243766726e-07,1.3587207659036857e-07,1.3164970634046079e-08,3.007330435814997e-07,8.508222235355766e-06,1.535332843783771e-09,8.156711166820502e-06,0.0001354160291032631,1.6818923259972564e-05,2.3311368397901063e-05,0.10572001038147774
temperature_fahrenheit,0.30953648192147426,0.0,6.778012603287736e-09,6.822904242562103e-09,0.01571799110408446,5.01240810164978e-05,4.7582115859370464e-05,0.2581185662013608,0.26332631988251015,9.046853957164744e-16,0.0007074060367939852,6.9957385761681e-06,7.80560717663021e-06,0.24630383509417073,0.22030903400855362,0.057911676658071905,1.386033712550032e-07,1.385827905392026e-07,1.3492842945672847e-08,2.97421838766233e-07,8.864199605308333e-06,1.5558977867280853e-09,8.242682195286989e-06,0.00013601956106054912,1.6923976004772567e-05,2.3502508139496222e-05,0.10731167374609606
wind_mph,0.04630947704660125,0.04669509285813135,0.0,0.19287707715814115,0.4313207797098667,0.7260824825845188,0.7616055521929112,0.3603089759501631,0.38829837570349124,0.08742535692757053,0.544333289789668,3.551517687412963e-05,3.7103632454225134e-05,0.7006071803217242,0.6670389960973331,0.3223981695551849,0.07557646343009929,0.0757890820356361,1.287846351226124e-09,0.0007015238996936711,5.806699550450704e-08,4.3040039886348044e-13,3.3221841907186496e-13,8.816422477950201e-13,1.1139453605096737e-12,3.403156971897309e-14,0.09003993989997562
wind_kph,0.04629685479691496,0.046670185166988544,0.1901344203528693,0.0,0.42946853291122145,0.7209954020711721,0.7568093639737159,0.3619379716790786,0.3900420159574347,0.08988750937231856,0.5429938351090204,3.661977336378611e-05,3.8240745143495524e-05,0.6935540013888255,0.6606985103924411,0.32105759687803387,0.0710128603448472,0.07121415887211317,1.323205982794866e-09,0.0007146094357201309,5.9539301914150946e-08,4.3233766992314014e-13,3.4672370446538886e-13,9.167189622922342e-13,1.1841268350242403e-12,3.654431591659685e-14,0.09037688474034002
wind_degree,0.2543234397748977,0.2556412088785234,0.0018674288572235543,0.0018302355314506508,0.0,0.2673084144015178,0.28033946829333056,0.2668074881235385,0.27308293956838336,0.2822800561658582,0.3125610332081868,0.0930272744720535,0.09793753046861424,0.0035965139633727327,0.003361219615832594,0.03808741511653176,0.004637028897509681,0.004644303185494197,0.031927709165235886,0.5686279504414729,0.17190175796183024,0.047628931286731166,0.12127867922089805,0.17887861805601551,0.18834104181901884,0.24847896294906094,0.4315539586335052
pressure_mb,0.017967294536089033,0.017731448687176014,0.0005252824333424306,0.0005198552832562323,0.017890465608152793,0.0,0.02798360428882872,0.05857392763684479,0.06189276047472737,2.0146114699362016e-21,0.0019119252472554096,0.029654204066883225,0.028876690392868703,0.00016988883646332928,0.00022199407687684892,0.010722305109054824,0.001551472072726824,0.00158705208489103,1.9179614882612124e-06,1.2853627248608853e-05,0.001984666576270505,2.1613891926405584e-06,3.8929555581926296e-05,9.18081008770665e-06,0.0013119287513867028,0.000644644886945739,0.21749440532998668
pressure_in,0.017204174253685454,0.016997235955845423,0.0005616201949169859,0.0005557782405139534,0.015001646426138144,0.019182349428075993,0.0,0.06499958008180133,0.06824812668669954,1.628910123935917e-21,0.0019484411712941349,0.030239790106018096,0.029453387592762354,0.00017113265269182046,0.0002243103513178455,0.010267486241960578,0.0016646170251195813,0.0017032014020010057,1.9305287047037395e-06,1.388045570247885e-05,0.0019322667401351211,2.138350151669381e-06,3.460051655311795e-05,8.339447015572274e-06,0.0012043629618268803,0.0005968379510672191,0.2123906488671364
precip_mm,0.01580897914744479,0.01579855253622111,0.42711064666348164,0.4258061041304819,0.03297258445291035,0.0010163458745955302,0.0007850913639342808,0.0,0.08464171823109183,0.0006982767434230695,0.09854109567481702,0.08689383269004668,0.08512515939824548,0.1269534869391302,0.15938290810894026,0.21380019744751652,0.41314161636157154,0.41017969422360245,0.037082098878378426,0.24530596231854299,0.17123285926346263,0.11070192577350453,0.11944160616361273,0.05635992572774977,0.21139160774468035,0.1437168536517444,0.1738800560524812
precip_in,0.01614703633299556,0.01613521720008876,0.4560886504321826,0.4547730512139674,0.030451511556138736,0.0008875644696937154,0.0006829368946113981,0.08683657698126664,0.0,0.0007016572169034549,0.09695316447084573,0.0866974591377404,0.08495417889335481,0.11269826646261462,0.14615907045968465,0.20620780058787003,0.4472328372565365,0.44420960787858077,0.04114539646184784,0.23690024589214023,0.20060191568541477,0.12489485935775677,0.13192032304049905,0.06360667400132074,0.23446934290914945,0.16117402966472175,0.1635014851498745
humidity,6.888881006169263e-22,6.248814803636065e-22,0.00510683665839778,0.005163344420926566,0.032016251278144156,2.4665027425884536e-11,3.12755585058928e-11,0.047697970077711135,0.05522899133178549,0.0,0.03415219310971896,1.410352367169149e-16,1.351745955917056e-16,0.36034636561969857,0.22861175134672318,3.069679931756579e-05,0.00027031554748237614,0.0002742727759673717,4.20540682205212e-06,0.002123280163864527,0.0062254460062408905,0.00150128156010481,0.001039079748447956,0.011671525278063697,0.0020037458988495776,0.0012385603226214095,0.5586970590691918
