,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
temperature_celsius,0.0,0.0,30.0,30.0,-30.0,22.0,22.0,-15.0,-14.0,22.0,-19.0,0.0,0.0,16.0,16.0,29.0,30.0,30.0,6.0,29.0,-5.0,19.0,8.0,8.0,28.0,8.0,-30.0
temperature_fahrenheit,0.0,0.0,30.0,30.0,-30.0,22.0,22.0,-15.0,-14.0,22.0,-19.0,0.0,0.0,16.0,16.0,29.0,30.0,30.0,6.0,29.0,-5.0,19.0,8.0,8.0,28.0,8.0,-30.0
wind_mph,-30.0,-30.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,3.0,-24.0,-21.0,-21.0,15.0,15.0,13.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0
wind_kph,-30.0,-30.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,3.0,-24.0,-21.0,-21.0,15.0,15.0,13.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0
wind_degree,30.0,30.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,30.0,30.0,-4.0,-4.0,8.0,0.0,0.0,6.0,21.0,23.0,6.0,6.0,6.0,6.0,6.0,0.0
pressure_mb,-22.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-22.0,-22.0,1.0,1.0,-7.0,0.0,0.0,-26.0,-3.0,-1.0,-1.0,-1.0,-1.0,-29.0,-29.0,25.0
pressure_in,-22.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,-1.0,-22.0,-22.0,1.0,1.0,-6.0,0.0,0.0,-26.0,-3.0,-1.0,-1.0,-1.0,-1.0,-29.0,-29.0,25.0
precip_mm,15.0,15.0,10.0,10.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,10.0,10.0,-1.0,21.0,8.0,-16.0,-13.0,-13.0,-14.0,-26.0,19.0
precip_in,14.0,14.0,10.0,10.0,-21.0,0.0,-7.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,10.0,10.0,-1.0,21.0,8.0,-16.0,-13.0,-13.0,-14.0,-13.0,19.0
humidity,-22.0,-22.0,-3.0,-3.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-22.0,-22.0,0.0,0.0,19.0,-3.0,-3.0,-2.0,27.0,-4.0,24.0,24.0,24.0,27.0,25.0,22.0
cloud,19.0,19.0,24.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,19.0,24.0,24.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0
feels_like_celsius,0.0,0.0,21.0,21.0,-30.0,22.0,22.0,-14.0,-14.0,22.0,-19.0,0.0,0.0,16.0,16.0,29.0,30.0,30.0,6.0,29.0,-5.0,19.0,6.0,6.0,28.0,6.0,-7.0
feels_like_fahrenheit,0.0,0.0,21.0,21.0,-30.0,22.0,22.0,-14.0,-14.0,22.0,-19.0,0.0,0.0,16.0,16.0,29.0,30.0,30.0,6.0,29.0,-5.0,19.0,6.0,6.0,28.0,6.0,-7.0
visibility_km,-16.0,-16.0,-15.0,-15.0,4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-16.0,-16.0,0.0,0.0,13.0,-15.0,-15.0,12.0,-4.0,2.0,2.0,12.0,12.0,12.0,12.0,4.0
visibility_miles,-16.0,-16.0,-15.0,-15.0,4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-16.0,-16.0,0.0,0.0,13.0,-15.0,-15.0,12.0,-4.0,-4.0,2.0,12.0,12.0,12.0,12.0,4.0
uv_index,-29.0,-29.0,-13.0,-13.0,-8.0,7.0,6.0,0.0,0.0,-19.0,-19.0,-29.0,-29.0,-13.0,-13.0,0.0,-13.0,-13.0,-24.0,-17.0,4.0,4.0,-13.0,4.0,-13.0,-13.0,10.0
gust_mph,-30.0,-30.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,3.0,-24.0,-30.0,-30.0,15.0,15.0,13.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0
gust_kph,-30.0,-30.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,3.0,-24.0,-30.0,-30.0,15.0,15.0,13.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0
air_quality_Carbon_Monoxide,-6.0,-6.0,1.0,1.0,-6.0,26.0,26.0,1.0,1.0,2.0,1.0,-6.0,-6.0,-12.0,-12.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0
