,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
temperature_celsius,1.0,0.9999974772289518,0.276864604389586,0.2766143014035145,-0.14204587095013121,-0.38335977747087036,-0.3843531839545022,0.05625473899207457,0.05517690932579935,0.44578640082378895,0.1814672193075689,0.9936883467052157,0.9937102115628739,-0.07033657525073819,-0.07432870185502571,0.45802390660810244,0.26665570774916064,0.26654933265471387,-0.35274894177721894,0.36158916444103456,-0.19917154827551584,-0.45038660212753157,-0.25479012690921515,-0.21095144844125444,-0.23796813357617108,-0.23829000541241666,-0.03681122983310916
temperature_fahrenheit,0.9999974772289518,1.0,0.2768547419441597,0.2766036097436678,-0.14214815562035907,-0.3833464958760285,-0.384342889175424,0.056354863692280405,0.05521674078551619,0.44574509673654555,0.18130567209508325,0.993692223379852,0.9937147661457119,-0.07025941633586273,-0.07425766759510985,0.4579548096626764,0.26658799900004504,0.2664815966793141,-0.3526691891009498,0.3616039594405635,-0.19920469200154878,-0.45024583504910454,-0.25473154248490426,-0.210910953511411,-0.23796957902005317,-0.23823735270671065,-0.03685635364660961
wind_mph,0.276864604389586,0.2768547419441597,1.0,0.9999825043705125,0.26058845127067765,-0.21612873454380746,-0.21603983483885675,0.0851374818059836,0.08307261475088415,0.1596993975208249,0.12404072451314767,0.2669624552837421,0.2671303610912843,-0.13663645963293208,-0.14164631889833332,0.17283531057522117,0.9678619645628266,0.9678277727824787,-0.20650481838139487,0.25533020491603076,-0.22963761738511868,-0.2391865016064261,-0.2609413342922067,-0.24066926296005636,-0.23754467300675508,-0.2613004820024503,0.08697663532241955
wind_kph,0.2766143014035145,0.2766036097436678,0.9999825043705126,1.0,0.2609994761719509,-0.21603247721814872,-0.21594095159712628,0.08538896787457817,0.08334250018084659,0.15964673996931295,0.12403285494942141,0.2666646922786321,0.26683216244732433,-0.1370333159670461,-0.14202161979508957,0.1728043391616458,0.9679433052124937,0.9679117996474442,-0.206245892231603,0.25500554817706556,-0.22938719559028892,-0.23904565671694256,-0.260785355846105,-0.24055870596980297,-0.23733657541914643,-0.2610623702568165,0.08698672232487553
wind_degree,-0.1420458709501312,-0.14214815562035907,0.26058845127067765,0.2609994761719509,1.0,-0.1599445230401235,-0.15940284743203054,-0.09090171021150512,-0.09186214586991728,-0.19596836918507193,-0.17013101438581332,-0.14403075685656602,-0.14409012218198275,0.1301858825517434,0.1273920193742296,-0.08162427981949637,0.26589434769210474,0.2660764657909886,0.18287283150212713,-0.08380378663222837,0.13327933360905403,0.18824383622064658,0.1382004319323859,0.11481039055227549,0.12915290992785472,0.14871410079125424,0.07152052974240085
pressure_mb,-0.38335977747087036,-0.38334649587602854,-0.2161287345438075,-0.21603247721814875,-0.1599445230401235,1.0,0.9997884887971563,-0.106763052896926,-0.10608146448887755,-0.2334268609616627,0.11609915139004634,-0.38659984519977186,-0.3866639303501267,0.1344326534707466,0.13111967055657014,-0.18072063533116342,-0.24788531241365608,-0.24765478750949949,0.15153032471414132,-0.20799647856833475,0.1064333034781979,0.18463232501533175,0.14066347836681076,0.16048823433810805,0.14821790540813023,0.13864013978065184,-0.07051128698747645
pressure_in,-0.3843531839545022,-0.38434288917542403,-0.21603983483885675,-0.21594095159712626,-0.15940284743203054,0.9997884887971563,1.0,-0.1064333052392126,0.10645984643426393,-0.2334881557908946,0.11571819499324656,-0.38773209631969036,-0.38779852125556274,0.1336526960023358,0.13045319015467952,-0.18219671561087336,-0.24787013508931527,-0.2476444970435103,0.153702771061274,-0.20810413568774938,0.10709175672908118,0.1854972153909116,0.1425224501045216,0.16212276221889751,0.14959240952592406,0.13969510144355943,-0.06985937025264122
precip_mm,0.056254738992074574,0.056354863692280405,0.08513748180598359,0.08538896787457818,-0.0909017102115051,-0.10676305289692602,-0.10643330523921259,1.0,0.9992219857179274,0.19596521975391856,0.15339134407948615,0.05772959581071362,0.05766649904060427,-0.30243676211563153,-0.3069489108319869,-0.05601779887979631,0.08449471467023649,0.08473624991546723,-0.0576664082536024,0.10175164014086842,0.0876347609268459,-0.06744450693206647,0.07722945260023635,0.07627153723487216,0.08552244504765491,-0.07941805896793848,0.07174421424571241
precip_in,0.05517690932579935,0.05521674078551619,0.08307261475088415,0.08334250018084659,-0.09186214586991728,-0.10608146448887755,0.10645984643426393,0.9992219857179274,1.0,0.1930067704059912,0.14949949284935227,0.05702901767748536,0.056970785613837116,-0.30191158798192064,-0.3065693672055246,-0.05621503903511668,0.0823136134206551,0.08256997543576691,-0.05453264487782235,0.10252690691120109,0.08897400417190565,-0.06607008211890009,0.07829681605088333,0.07747637415312371,0.08703677096116405,0.07989222053116346,0.07221992383560587
humidity,0.44578640082378895,0.4457450967365456,0.15969939752082488,0.15964673996931295,-0.19596836918507196,-0.23342686096166274,-0.2334881557908946,0.19596521975391856,0.1930067704059912,1.0,0.38803010882650846,0.4399030555827887,0.43997670103593217,-0.35202562838617374,-0.3735498183765467,0.2701410393753618,0.18243488713787365,0.18233560263427806,-0.23566374714386779,0.2589914610517291,-0.09644102826770122,-0.22417416586680675,-0.19913191982408485,-0.15076452973342347,-0.21065555634468586,-0.20117521324231377,0.048963385757112905
