,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
temperature_celsius,1.0,0.9999968096070556,0.2687686239354966,0.26884642539513076,0.29930202500281783,0.3449186896433835,0.346078777762435,0.07078092668582504,0.0727056522797114,0.39387559464539457,0.10019451283970711,0.99451198464159,0.9945356897606384,0.08274924563372477,0.08701835068920395,0.5170769143512779,0.26748606654347257,0.2673995264055328,0.2567031754830304,0.26029367225868527,0.15713097124380726,0.3192480754415075,0.13550339896458585,0.09013805929747641,0.12474288480457751,0.12692210269587767,0.03809792096178862
temperature_fahrenheit,0.9999968096070556,1.0,0.26869836633482214,0.26877558076923935,0.29919864908180854,0.3449860682333228,0.3461443401055816,0.07082481303401633,0.0727566558970116,0.393845742511228,0.10021550842266601,0.9945120375869977,0.9945372596552392,0.0827793176023442,0.08706482862044629,0.5170759982777231,0.2673954099002703,0.2673095042352759,0.2566887994537132,0.2603536124979652,0.15709634095697092,0.31924350078441605,0.13544309336566723,0.09011075003549052,0.1246534608899276,0.1268443831282366,0.03820163487982785
wind_mph,0.2687686239354966,0.26869836633482214,1.0,0.9999725911286934,0.2856191958070478,0.2004510668039265,0.2004012276673088,0.06668437179124322,0.06397098290782087,0.1400767612567111,0.11553694770824775,0.2631256602187304,0.2631341538230239,0.07784076025126453,0.07578757422905366,0.11962294178711665,0.9663274718982371,0.9662812398978103,0.09596667357983825,0.29090019241383364,0.17240058962980553,0.13107228225739237,0.10761047182860971,0.09018858133802791,0.09973060865506513,0.10219866940117184,0.09335573794315867
wind_kph,0.26884642539513076,0.26877558076923935,0.9999725911286934,1.0,0.28591315381724036,0.20047535941283223,0.20042265645623764,0.06662008582022727,0.06390102700240503,0.14008937298662336,0.11569510924178833,0.2632201550037859,0.2632281224332196,0.0777536915849881,0.07564943193681939,0.1193946032851619,0.9664187594949875,0.9663758442824274,0.09609816194888264,0.2906353387144053,0.1722771392354367,0.1311735756357054,0.10753005074324123,0.09012528562122239,0.09972563664838609,0.10204288025704293,0.09344085152313088
wind_degree,0.29930202500281783,0.29919864908180854,0.2856191958070478,0.28591315381724036,1.0,0.2074290448423989,0.2076745418109265,0.10876997610392525,0.10162853289558504,0.21795553575175333,0.20550032560617212,0.3085982174460495,0.3085042423992825,0.10912471423953009,0.11268911105596775,0.19580093393183826,0.30049498066564284,0.3005389438573625,0.11812479887026056,0.09313027943782314,0.08155409869584689,0.11430793517819103,0.0826017873771135,0.07321310530571098,0.07091357031627933,0.07866054864135245,0.09128992315201259
pressure_mb,0.3449186896433835,0.3449860682333228,0.2004510668039265,0.20047535941283223,0.2074290448423989,1.0,0.9996907299023287,0.13290726271475045,0.12914455502644148,0.17648066519845237,0.05870517663622611,0.34239503191551435,0.34233166812046556,0.0841351955793304,0.08625056085316339,0.21273359430044925,0.2252301204681342,0.22509189434206991,0.10455157955604583,0.1541577613678481,0.09501414805867818,0.10090945655873637,0.08580720456648332,0.08037081908748601,0.08385776010666782,0.07738669408932611,0.05667422886935895
pressure_in,0.346078777762435,0.3461443401055816,0.2004012276673088,0.20042265645623764,0.2076745418109265,0.9996907299023287,1.0,0.13211844476123957,0.1283490124317622,0.1775009912041549,0.05890174304703821,0.34354101872008247,0.3434773018512947,0.08375646973483043,0.085626405879853,0.21430824482301572,0.22527910010942442,0.225144471060905,0.10450288155266209,0.15483505684825274,0.09547379064347633,0.10155067694218856,0.086286775523028,0.08127089109460388,0.08429125183517477,0.07758857548889177,0.05694922344214538
precip_mm,0.07078092668582504,0.07082481303401633,0.06668437179124322,0.06662008582022727,0.10876997610392525,0.13290726271475045,0.13211844476123957,1.0,0.9918554249608735,0.3302372313025911,0.2982941707891189,0.07353886636335878,0.07343012193678244,0.37911338699170827,0.3836082684690653,0.07478218713741652,0.07526991463169773,0.07524808425387558,0.08842457393114676,0.056446314699703196,0.05183910060378474,0.09751990532268974,0.10033350967339807,0.10329094389990186,0.0966616960549068,0.09824868212801775,0.060124889473404754
precip_in,0.0727056522797114,0.0727566558970116,0.06397098290782087,0.06390102700240503,0.10162853289558504,0.12914455502644148,0.1283490124317622,0.9918554249608735,1.0,0.30893929123812497,0.26644684162923155,0.07579548980539914,0.07568495369248265,0.3709992731756051,0.3753660457904927,0.06968929322668845,0.07366195936178488,0.07367653463881495,0.07055568295398071,0.051267986628498005,0.05174434783678195,0.07844359619605767,0.0812338243739538,0.08594049651854588,0.08044079425100602,0.07700651131735285,0.06135877912828859
humidity,0.39387559464539457,0.393845742511228,0.1400767612567111,0.14008937298662336,0.21795553575175333,0.17648066519845237,0.1775009912041549,0.3302372313025911,0.30893929123812497,1.0,0.40151377876552397,0.39399582241635944,0.39403435386827396,0.3778543686138181,0.38820734435282406,0.26879071553889694,0.17665411368643713,0.17667740862328105,0.1551176794484141,0.10306260207150299,0.13670909677075296,0.20411444756772265,0.18210564869178317,0.1401995014615381,0.19134736135038824,0.17249482729854232,0.04710191685714245
