,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
temperature_celsius,1.0,0.9999593052306229,0.08930786990263455,0.09006097028295898,0.06318524539102914,-0.3505197442484182,-0.3512086944041373,0.0022375023477554973,,-0.48225635512092185,-0.12853593776447644,0.9629174369633638,0.9629379853528155,,,0.5623137378215812,0.02093851277795317,0.02098690365538475,-0.04448783161925591,0.22363642366045455,-0.20038371130527233,-0.14486632974889582,-0.09713476970823458,-0.04109630206894395,,,0.003684387104086979
temperature_fahrenheit,0.9999593052306229,1.0,0.08936860721044489,0.08938681240444517,0.0631912087361382,-0.35048690839869506,-0.35117343108095406,0.0022375593809984234,,-0.4822693827674508,-0.12844452275923676,0.9629071626406737,0.9629331932590527,,,0.5622876203395737,0.020952747022239288,0.017430574017005276,-0.04452532220572367,0.22356132901304057,-0.2002949370641698,-0.14482613057325408,-0.0971004348629654,-0.04108862398875184,,,0.004177057010588026
wind_mph,0.08930786990263452,0.08936860721044483,1.0,0.9999225624689867,0.02914354254773675,-0.09123494452557923,-0.09457331008248655,0.04094994058751106,,-0.17959262647062155,-0.01282994258547932,0.07442419288199661,0.07437947536378996,,,0.12852379526096921,0.8878933703212056,0.8877769438773756,-0.10397031711413172,0.2286255000159264,-0.2635743366270552,-0.18970802109932364,-0.06900555700946757,-0.01071423911630477,,,0.0032322957393422958
wind_kph,0.09006097028295897,0.08938681240444518,0.9999225624689867,1.0,0.02925037121021864,-0.09117293819491214,-0.09083005472474409,0.042593644175530056,,-0.17950444344567232,-0.012806906125718727,0.07316791476876401,0.07312014907682592,,,0.128636384462819,0.8883031939986631,0.8881879828758867,-0.10395002727560496,0.22854702348038453,-0.26352552237495813,-0.18957032401674676,-0.06896141655033691,-0.010669326335712557,,,0.003017817941415034
wind_degree,0.06318524539102915,0.0631912087361382,0.029143542547736753,0.029250371210218656,1.0,-0.08189240536498435,-0.0817689939779321,0.04229331211093063,,-0.011065742523175066,0.032529997654308404,0.07126993321059805,0.07126741161404299,,,0.07295095081698551,0.03301025293974409,0.033034135622732656,0.014570844273279515,-0.02283716511955184,-0.006955748468333868,-0.04734455600223454,-0.05459394733658057,-0.042562410543614454,,,-0.004632658242562302
pressure_mb,-0.35051974424841814,-0.35048690839869506,-0.09123494452557923,-0.0911729381949121,-0.08189240536498434,1.0,0.9973728349017115,-0.10236786877916236,,0.01678349343114,-0.05620228325381553,-0.36183877516203944,-0.36185036363266665,,,-0.10830524643744385,-0.12580721556465457,-0.1257562553754377,0.20868048521099578,-0.12258452276618144,0.1606296394073506,0.10624051623727547,0.1641790655304459,0.12816740788867104,,,0.0033714233423975098
pressure_in,-0.35120869440413727,-0.35117343108095406,-0.09457331008248658,-0.0908300547247441,-0.08176899397793211,0.9973728349017114,1.0,-0.09850981592164645,,0.01730758837392612,-0.054546305814167,-0.3638860771075571,-0.36395815250145563,,,-0.10855787727307818,-0.12558520298815376,-0.12551936303211378,0.21557351616669082,-0.12107033706175375,0.16012779598329624,0.10191302663241703,0.1590685271552978,0.1238289301904292,,,0.004111478083968358
precip_mm,0.0022375023477555003,0.0022375593809984213,0.04094994058751106,0.04259364417553007,0.04229331211093063,-0.10236786877916236,-0.09850981592164645,1.0,,0.17623047954582763,0.2386002006996694,0.04061201830385996,0.04418456040891477,,,0.013404743840296239,0.07436224376895956,0.07433429249601885,-0.0017430026466101914,-0.06342054969851683,0.012732093790431082,0.0035642743039483666,-0.05242337348640153,-0.05046492159836562,,,-0.015053065123293964
precip_in,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
humidity,-0.48225635512092185,-0.4822693827674508,-0.17959262647062155,-0.1795044434456723,-0.011065742523175071,0.016783493431140006,0.01730758837392612,0.1762304795458276,,1.0,0.41561326306207164,-0.382981687840324,-0.38298433935340453,,,-0.39244806932987963,-0.10787414880588525,-0.10784448001206805,-0.03451929096293517,-0.3370684517744804,0.12526725571011915,0.025212693822430205,-0.054620771969296336,-0.07880341658506183,,,-0.028067634118491454
