,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
temperature_celsius,1.0,0.9999951197036455,0.15138713316466967,0.15138995173497347,0.08597993057111994,0.467393087177572,0.4689353109808372,0.07606838398104293,0.0743169274445313,0.3040511964293476,0.14624948476401542,0.9844784382269363,0.9844756620287526,0.11530845600564607,0.1070874537105822,0.478834288804558,0.129769305871836,0.12982549893975387,0.08108396735035614,0.22727956089928944,0.2661952225611572,0.1144877681054847,0.12051045178514411,0.17755128258718839,0.113541441518469,0.119631935503524,0.021319680966589746
temperature_fahrenheit,0.9999951197036455,1.0,0.15143746840216077,0.15144051164822547,0.08597421622697059,0.4673853366971503,0.4689285177266357,0.07605697778820436,0.07430192721768984,0.3040078442933412,0.14621325269942828,0.9844878379724351,0.9844868448280397,0.11534375363588303,0.10712382164560212,0.4788351593309824,0.12982978336315878,0.12988606725772026,0.08103352218297896,0.227258489100894,0.2662213992900408,0.11446688480036969,0.1204473595420402,0.17752884539927347,0.11349079149117203,0.11955898784950084,0.021315617006224495
wind_mph,0.15138713316466967,0.15143746840216077,1.0,0.999964576554525,0.04583476811915896,0.15274903895603392,0.15370356047171216,0.03363374149504866,0.02739927920438463,0.14385178608802235,0.03586741142682538,0.1374440803412758,0.1374235863777122,0.1506302922821633,0.14880527740668445,0.10985593342635469,0.9223180817010632,0.9223481465779175,0.22508807766578365,0.18517777435692376,0.18638161241050666,0.11719481094445966,0.09130538754846033,0.11796628849964977,0.09746297699027164,0.08437885873894041,0.016280730793120753
wind_kph,0.15138995173497347,0.15144051164822547,0.999964576554525,1.0,0.045834105600732235,0.15275008593191905,0.1537059642343142,0.03363614587974826,0.027389359160833293,0.14378996745386946,0.03586175052031886,0.13745391654450517,0.13743367153441502,0.15061542812034903,0.14879580314895816,0.1098961059025441,0.922359750891538,0.9223909724452438,0.22528980749815797,0.18525575890498439,0.18650270769384228,0.11730251372336271,0.0915059709789955,0.11773612064358421,0.09765128969472216,0.08459905429699927,0.016242535211270566
wind_degree,0.08597993057111994,0.08597421622697059,0.04583476811915896,0.045834105600732235,1.0,0.09200043735380989,0.09203846478387241,0.03243264813129639,0.031217684079410144,0.06430059670547518,0.04658527963093361,0.0899173969574889,0.08989445969958287,0.07220439304527304,0.07457009659588303,0.06879578873178026,0.045681484495147966,0.04569802051868147,0.07772881246914046,0.07743522923729909,0.09209942871685048,0.06598317923717513,0.05558681888609763,0.06086649111053114,0.05699659527501809,0.0543312925329824,0.019385631189866526
pressure_mb,0.467393087177572,0.4673853366971503,0.15274903895603392,0.15275008593191905,0.09200043735380989,1.0,0.9991301569954435,0.1945098862833443,0.19073729168234285,0.08340134008147349,0.11436723431525787,0.48197903303656503,0.48201586155334764,0.05854820069376951,0.05805914686358827,0.10635848665535394,0.1858206427259286,0.18575425200587736,0.09052146849301645,0.13779497587692818,0.18422324264907258,0.11622882393340199,0.07841420908597097,0.09019314372255885,0.06918265242322189,0.07349205953422096,0.03208554731112475
pressure_in,0.4689353109808372,0.4689285177266357,0.15370356047171216,0.1537059642343142,0.09203846478387241,0.9991301569954435,1.0,0.1938604775253226,0.19025011685034968,0.0839350256465234,0.11451254112832525,0.48356459699393617,0.48360328202573005,0.060284464219601826,0.05977361143339444,0.10613952401586906,0.18716968039838358,0.18710542886365847,0.09032068031858771,0.13858397722380983,0.1846902673207781,0.1161445894779052,0.07839901269973533,0.09026489881573817,0.06920025659920868,0.07347780179344528,0.031703550633335756
precip_mm,0.07606838398104293,0.07605697778820436,0.03363374149504866,0.03363614587974826,0.03243264813129639,0.1945098862833443,0.1938604775253226,1.0,0.9894915600119155,0.2429065890462889,0.3523278659704838,0.10010090972500767,0.10006445800234197,0.10161250907640997,0.11319677276181032,0.07840254387393478,0.06871403329193038,0.06865012223511667,0.031856691768997004,0.11156257909374284,0.07334858241190498,0.07041707164715609,0.13197751332995777,0.1415912106811973,0.12467331043450264,0.12333471294598941,0.02151305708612984
precip_in,0.0743169274445313,0.07430192721768984,0.02739927920438463,0.027389359160833293,0.031217684079410144,0.19073729168234285,0.19025011685034968,0.9894915600119155,1.0,0.2250676552004135,0.3206317008082922,0.09893085902813482,0.09888997032685526,0.10102666482003658,0.11296988082395995,0.07066354765728697,0.063351431114742,0.0632768966218207,0.02619577902859012,0.10677808309218456,0.06236987038240607,0.060673898871856057,0.12250001563969139,0.13202868044690452,0.11466558358712861,0.114200256114374,0.020102962172976704
humidity,0.3040511964293476,0.3040078442933412,0.14385178608802235,0.14378996745386946,0.06430059670547518,0.08340134008147349,0.0839350256465234,0.2429065890462889,0.2250676552004135,1.0,0.48966239347216295,0.21951879415832842,0.2195293525709308,0.23297991432670762,0.23646850037746492,0.5591289897425585,0.06662544677716918,0.06663833885134256,0.11594235417067034,0.39916389185560364,0.11398881500408165,0.20264885219508133,0.25172105763579466,0.31488674768196684,0.24543201192188424,0.25050464120480476,0.012390125038015771
