,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
temperature_celsius,1.0,0.9999944659719193,0.17467884872438813,0.17467884872438813,-0.016371589127154505,-0.4800091002926051,-0.4809071643832184,0.053486958255702495,0.05699962742644175,-0.32612556316772445,-0.0981502432656838,0.9777963594061593,0.9777770471336886,0.07401781336737204,0.07476343193519921,0.4588701002386429,0.14022112521535157,0.14023832080544799,0.02786178783312261,0.18868820713153595,-0.29636813890943625,-0.11419635089828904,0.07543297798896856,0.13333002498196114,0.0934921541039333,0.08907285601409921,-0.0042450674993145055
temperature_fahrenheit,0.9999944659719193,1.0,0.17467339335271626,0.17467339335271626,-0.016367612995262758,-0.48000577353442386,-0.4809040506394239,0.05348820711679405,0.05699768654380703,-0.32612041880148174,-0.098148286718879,0.977796547535665,0.9777779739265808,0.0740135130131079,0.07475926304526032,0.4588699817558887,0.14021493190852113,0.1402321655558782,0.027852293141257617,0.18869035377189552,-0.29634624505452356,-0.1141824814530505,0.07543929233272832,0.13333360477424924,0.09349428773603335,0.08907295498002588,-0.004247658939071805
wind_mph,0.17467884872438813,0.17467339335271626,1.0,1.0,-0.006586323558541767,-0.15830823036730046,-0.15906521743306812,0.05334185367922265,-0.006529412066796712,-0.15505769372520553,0.004152281928808943,0.15395501397683395,0.15395717129446962,0.12997630003437718,0.1307982909458796,0.08749260825883617,0.9149088714743038,0.9148698126526487,-0.26848423112955627,0.20012611625471957,-0.25222526263373335,-0.17390274289607732,-0.1263720026534993,-0.031080430522900878,-0.11589810989795488,-0.12285630131607986,-0.0004396311813909545
wind_kph,0.17467884872438813,0.17467339335271626,1.0,1.0,-0.006586323558541767,-0.15830823036730046,-0.15906521743306812,0.05334185367922265,-0.006529412066796712,-0.15505769372520553,0.004152281928808943,0.15395501397683395,0.15395717129446962,0.12997630003437718,0.1307982909458796,0.08749260825883617,0.9149088714743038,0.9148698126526487,-0.26848423112955627,0.20012611625471957,-0.25222526263373335,-0.17390274289607732,-0.1263720026534993,-0.031080430522900878,-0.11589810989795488,-0.12285630131607986,-0.0004396311813909545
wind_degree,-0.016371589127154505,-0.016367612995262758,-0.006586323558541767,-0.006586323558541767,1.0,-0.07723676305131297,-0.07721723438795977,0.00142150979432147,0.021379895158470247,-0.028997546275783756,0.009822618858147206,-0.018394391572490454,-0.018397109359903387,-0.06502509901021092,-0.06414922496610588,0.09410020331895451,-0.024430075060422347,-0.02445558134259611,0.10323339164338213,0.045379933477899856,0.14451340844711266,0.09897756400819435,0.036125966496639156,0.03468975804482482,0.04448275207375739,0.042931615287761814,-0.004171145696578582
pressure_mb,-0.4800091002926051,-0.48000577353442386,-0.15830823036730046,-0.15830823036730046,-0.07723676305131297,1.0,0.9991387060104697,-0.2233959180030606,-0.20246318703909724,-0.039601959184498686,-0.12604668938860544,-0.49952692197945964,-0.49955378288735497,0.01974677752028242,0.01840542758103225,-0.021180425932793574,-0.18579923397248455,-0.18575074975821143,0.07451270333266423,-0.057567823982631966,0.1524731023623419,0.09405966668292241,0.06095723839227255,0.022341981548430163,0.032940940495559665,0.04326530512082119,0.021597389360583197
pressure_in,-0.4809071643832184,-0.4809040506394239,-0.15906521743306812,-0.15906521743306812,-0.07721723438795977,0.9991387060104697,1.0,-0.22373843132040783,-0.20277387686698675,-0.040237848594967734,-0.12614289496262043,-0.5005983378901657,-0.500624629381089,0.019257421615632823,0.01792445080861432,-0.02076513138043843,-0.18675726433421677,-0.18670772471269098,0.07491973719282884,-0.057258950571954695,0.15241789123338192,0.09418236984065942,0.06107354417054345,0.0224578834121502,0.03308731126387406,0.043447648283786056,0.021403262028981747
precip_mm,0.053486958255702495,0.05348820711679405,0.05334185367922265,0.05334185367922265,0.00142150979432147,-0.2233959180030606,-0.22373843132040783,1.0,0.7488890314555388,0.3617726867156917,0.5263046309035924,0.12919116101681088,0.1292026306438823,-0.09785419566226762,-0.09742441731974433,-0.1190784034374981,0.08513120506361235,0.08506591984390988,-0.09384633919817063,-0.13936791280646013,-0.17540865250884138,-0.19861655990326643,-0.2411520260055579,-0.25036151185832717,-0.2089708771628483,-0.22104631326573462,0.0016089916370337321
precip_in,0.05699962742644175,0.05699768654380703,-0.006529412066796712,-0.006529412066796712,0.021379895158470247,-0.20246318703909724,-0.20277387686698675,0.7488890314555388,1.0,0.2639842572757112,0.3516591810251,0.11365129278671833,0.113650138775178,-0.13500182912356073,-0.13456577858565233,-0.061931968888217656,0.030003908461107266,0.029928404617722126,-0.024391598906478434,-0.10698563142248023,-0.10189724996602821,-0.1159540988305554,-0.16544523071840841,-0.1838763192458301,-0.13252762425120135,-0.14444108438905623,0.003812087779776983
humidity,-0.32612556316772445,-0.32612041880148174,-0.15505769372520553,-0.15505769372520553,-0.028997546275783756,-0.039601959184498686,-0.040237848594967734,0.3617726867156917,0.2639842572757112,1.0,0.4969642866171315,-0.2052329425071236,-0.2051667491058151,-0.2074812543225081,-0.20825860746999253,-0.589051651035183,-0.03616097240403396,-0.03624562696419782,-0.1503573342330131,-0.39599864727182027,-0.06547510779227017,-0.18295722875025078,-0.2581042769621328,-0.29671973948755737,-0.25910030207262297,-0.26093216667140623,-0.0027830670289941276
