feature,importance
wind_degree__max,0.35221721209237034
wind_kph__kurtosis,0.3265715836278603
gust_kph__kurtosis,0.29071818599427834
temperature_celsius__kurtosis,0.1879298958200986
uv_index__kurtosis,0.09562273648267143
wind_degree__min,0.05824019822225459
gust_kph__min,0.05121447343809006
feels_like_celsius__kurtosis,0.04221185494313992
pressure_mb__kurtosis,0.04178864129421543
wind_kph__skew,0.04112300382163145
visibility_km__wavelet_energy,0.04061168320672465
gust_kph__skew,0.03699752355739007
pressure_mb__wavelet_energy,0.03567994327223232
wind_kph__max,0.03181779354243556
visibility_km__kurtosis,0.0314794783401933
uv_index__stl_trend_strength,0.030147330006080577
precip_mm__q75,0.028765685098804325
precip_mm__iqr,0.028360376943439628
precip_mm__spectral_entropy,0.027342149698956347
precip_mm__stl_seasonal_strength,0.026413876537688476
temperature_celsius__skew,0.025828710802733426
visibility_km__mean,0.02369689441100711
visibility_km__max,0.022921181526686797
humidity__max,0.02269012321298016
gust_kph__max,0.021603680224435165
wind_degree__kurtosis,0.020949321183903018
precip_mm__wavelet_energy,0.02019389825551494
visibility_km__q25,0.020047704887190203
cloud__kurtosis,0.0191383546140663
gust_kph__entropy,0.017073670639443612
feels_like_celsius__skew,0.017032531008684272
visibility_km__q50,0.016522682511492214
precip_mm__stl_trend_strength,0.01645922243136184
visibility_km__q75,0.01638984262569981
cloud__min,0.016122252146867258
uv_index__wavelet_entropy,0.015674870003964572
wind_kph__entropy,0.015587616092067658
humidity__kurtosis,0.01516532588181706
temperature_celsius__entropy,0.014822448226755675
visibility_km__stl_trend_strength,0.014598683834783027
precip_mm__max,0.014046593712820826
uv_index__skew,0.013958022448625243
visibility_km__skew,0.013829334695231283
feels_like_celsius__entropy,0.0137809871514576
gust_kph__q25,0.013556118656170665
precip_mm__mean,0.013245462290366288
temperature_celsius__max,0.013099528836851424
cloud__spectral_entropy,0.013028938876076958
uv_index__entropy,0.012648691467553458
wind_degree__spectral_entropy,0.012613986056615588
visibility_km__iqr,0.012244388557522363
wind_degree__skew,0.011897462524627039
gust_kph__wavelet_energy,0.011706654283225017
precip_mm__stl_trend_std,0.01170654689849523
wind_kph__q25,0.011581015606306281
gust_kph__mean,0.011542150631090197
wind_kph__q50,0.011472899854300878
humidity__entropy,0.011455550127913963
uv_index__stl_seasonal_strength,0.011421807841623503
wind_degree__std,0.011385919984890731
wind_kph__wavelet_entropy,0.01101071071169188
precip_mm__std,0.010965126870698968
wind_degree__q75,0.01094242583837009
uv_index__stl_seasonal_std,0.010863441497097904
gust_kph__q50,0.010836864573842954
wind_kph__wavelet_energy,0.010747965986583667
uv_index__stl_trend_std,0.010634475781053957
gust_kph__wavelet_entropy,0.010488440422426871
uv_index__wavelet_energy,0.010297795761600179
cloud__skew,0.01028942762642524
pressure_mb__q50,0.010279572869980404
humidity__wavelet_entropy,0.010237694068598393
gust_kph__q75,0.010234449547355712
uv_index__q25,0.010170528066084428
wind_kph__mean,0.010092773527497058
wind_degree__stl_seasonal_strength,0.009602776095278147
wind_kph__iqr,0.009593700946919812
cloud__q25,0.009587965047189815
wind_degree__stl_seasonal_std,0.009444974659559213
uv_index__std,0.009429795342914302
wind_kph__q75,0.009419955641954922
uv_index__spectral_entropy,0.009398651228661013
wind_degree__entropy,0.009361012991901048
humidity__q75,0.009358168935017952
precip_mm__stl_seasonal_std,0.009349923132832965
humidity__q50,0.009314199851307877
pressure_mb__wavelet_entropy,0.009269446961194623
wind_degree__wavelet_entropy,0.009268153804996264
humidity__stl_seasonal_std,0.009261812167035347
visibility_km__std,0.009234131267785715
wind_degree__wavelet_energy,0.009217092657823452
pressure_mb__stl_trend_strength,0.009207836017968409
humidity__mean,0.00920624688612368
precip_mm__entropy,0.009099122435587338
pressure_mb__stl_trend_std,0.00909291358013241
humidity__wavelet_energy,0.009074825176185533
humidity__stl_seasonal_strength,0.0090568915922637
humidity__min,0.009028462975723787
cloud__max,0.008995804826696123
gust_kph__iqr,0.008983381651076523
feels_like_celsius__max,0.0089822557918418
temperature_celsius__stl_seasonal_strength,0.008978471039755048
feels_like_celsius__wavelet_entropy,0.008954456471927741
pressure_mb__mean,0.008952949600254428
humidity__q25,0.008842945034889686
cloud__mean,0.008842661950337897
humidity__std,0.008805142061199932
wind_degree__mean,0.008791002073671122
pressure_mb__entropy,0.008761561074655429
feels_like_celsius__q75,0.008737949606954074
visibility_km__spectral_entropy,0.008731817266462012
pressure_mb__skew,0.00860032396482489
wind_kph__std,0.008597094357450279
precip_mm__kurtosis,0.008585649014054482
cloud__q50,0.008526074462343772
visibility_km__wavelet_entropy,0.008522043623121183
temperature_celsius__wavelet_entropy,0.008487042103278188
cloud__q75,0.008445995898825899
uv_index__mean,0.008438440505434278
humidity__skew,0.008407977024682297
visibility_km__entropy,0.008327930066281861
spearman_humidity_precipitation,0.008304574653067345
gust_kph__stl_seasonal_std,0.008279477874604327
precip_mm__wavelet_entropy,0.008251729341376465
wind_degree__iqr,0.008241643246346474
humidity__spectral_entropy,0.008231526079024028
visibility_km__stl_seasonal_std,0.008231262325520601
wind_kph__stl_seasonal_std,0.008189477988003228
humidity__stl_trend_std,0.00818222784198604
temperature_celsius__stl_seasonal_std,0.008168712986559308
feels_like_celsius__stl_seasonal_strength,0.008121946775816239
gust_kph__spectral_entropy,0.008057217179611085
feels_like_celsius__min,0.008057037790473266
temperature_celsius__iqr,0.008047166669258967
feels_like_celsius__iqr,0.00803510422637161
humidity__iqr,0.00802362822404754
