feature,importance
wind_degree__max,0.35221721209237034
wind_kph__kurtosis,0.3265715836278603
gust_kph__kurtosis,0.29071818599427834
temperature_celsius__kurtosis,0.1879298958200986
uv_index__kurtosis,0.09562273648267143
wind_degree__min,0.05824019822225459
gust_kph__min,0.05121447343809006
feels_like_celsius__kurtosis,0.04221185494313992
pressure_mb__kurtosis,0.04178864129421543
wind_kph__skew,0.04112300382163145
visibility_km__wavelet_energy,0.04061168320672465
gust_kph__skew,0.03699752355739007
pressure_mb__wavelet_energy,0.03567994327223232
wind_kph__max,0.03181779354243556
visibility_km__kurtosis,0.0314794783401933
uv_index__stl_trend_strength,0.030147330006080577
precip_mm__q75,0.028765685098804325
precip_mm__iqr,0.028360376943439628
precip_mm__spectral_entropy,0.027342149698956347
precip_mm__stl_seasonal_strength,0.026413876537688476
temperature_celsius__skew,0.025828710802733426
visibility_km__mean,0.02369689441100711
visibility_km__max,0.022921181526686797
humidity__max,0.02269012321298016
gust_kph__max,0.021603680224435165
wind_degree__kurtosis,0.020949321183903018
precip_mm__wavelet_energy,0.02019389825551494
visibility_km__q25,0.020047704887190203
cloud__kurtosis,0.0191383546140663
gust_kph__entropy,0.017073670639443612
