country,location_name,last_updated,feature,original_value,jump_feature_count,iqr_support,zscore_support,isolation_forest_support,reason,repaired_value,repair_status
Burundi,Bujumbura,2024-06-23 15:45:00,wind_kph,2963.2,4,True,True,True,Sparse temporal jump with statistical anomaly support,27.55,repaired_by_city_time_interpolation
Burundi,Bujumbura,2024-06-23 15:45:00,wind_mph,1841.2,4,True,True,True,Sparse temporal jump with statistical anomaly support,17.1,repaired_by_city_time_interpolation
Burundi,Bujumbura,2024-06-23 15:45:00,gust_kph,2970.4,4,True,True,True,Sparse temporal jump with statistical anomaly support,34.75,repaired_by_city_time_interpolation
Burundi,Bujumbura,2024-06-23 15:45:00,gust_mph,1845.7,4,True,True,True,Sparse temporal jump with statistical anomaly support,21.6,repaired_by_city_time_interpolation
Indonesia,Jakarta,2024-05-16 21:00:00,air_quality_Carbon_Monoxide,19653.301,1,True,False,True,Sparse temporal jump with statistical anomaly support,7015.410232,repaired_by_city_time_interpolation
Saudi Arabia,Riyadh,2024-11-28 14:00:00,air_quality_PM10,5554.81,1,True,True,False,Sparse temporal jump with statistical anomaly support,2270.66225,repaired_by_city_time_interpolation
Saudi Arabia,Riyadh,2024-12-10 13:45:00,air_quality_PM10,5224.03,1,True,True,False,Sparse temporal jump with statistical anomaly support,1752.0143455497382,repaired_by_city_time_interpolation
Honduras,Tegucigalpa,2025-01-28 05:00:00,pressure_mb,3006.0,2,True,True,False,Sparse temporal jump with statistical anomaly support,1019.0,repaired_by_city_time_interpolation
Honduras,Tegucigalpa,2025-01-28 05:00:00,pressure_in,88.77,2,True,True,False,Sparse temporal jump with statistical anomaly support,30.09,repaired_by_city_time_interpolation
Iran,Tehran,2025-02-09 14:00:00,pressure_mb,3000.0,2,True,True,True,Sparse temporal jump with statistical anomaly support,1019.4921465968587,repaired_by_city_time_interpolation
Iran,Tehran,2025-02-09 14:00:00,pressure_in,88.59,2,True,True,True,Sparse temporal jump with statistical anomaly support,30.09476439790576,repaired_by_city_time_interpolation
